Mes,Total Crimes,Dif Percentual
Jan,7595.0,2.2757877726905464
Fev,7117.0,-6.2936142198815
Mar,7727.0,8.571027118167768
Abr,7480.0,-3.1965834088261937
Mai,7289.0,-2.553475935828877
Jun,6440.0,-11.64768829743449
Jul,6315.0,-1.9409937888198756
Ago,6550.0,3.721298495645289
Set,6427.0,-1.8778625954198473
Out,6948.0,8.106426015248172
Nov,6697.0,-3.612550374208405
Dez,7426.0,10.885471106465582
